invoice_id,user_id,line_number,service_type,usage_quantity,unit,unit_price,line_amount
212602124042,212601921538,1,Mobile Data,140.25,MB,4.1390,580.50
212602124042,212601921538,2,Mobile Data,197.03,MB,3.5226,694.06
212602124042,212601921538,3,Mobile Data,362.70,MB,2.8271,1025.40
212602124042,212601921538,4,Mobile Data,121.22,MB,4.4748,542.44
212602124042,212601921538,5,SMS,1.00,messages,0.5000,0.50
212602124042,212601921538,6,SMS,1.00,messages,0.5000,0.50
212602124042,212601921538,7,SMS,1.00,messages,0.5000,0.50
212602124042,212601921538,8,Voice Calls,2.23,minutes,1.3453,3.00
212602124042,212601921538,9,Voice Calls,7.95,minutes,1.0063,8.00
212602124042,212601921538,10,Voice Calls,7.23,minutes,1.1065,8.00
212603357719,212603155215,1,Mobile Data,213.86,MB,3.4028,727.72
212603357719,212603155215,2,SMS,1.00,messages,0.5000,0.50
212603357719,212603155215,3,SMS,1.00,messages,0.5000,0.50
212603357719,212603155215,4,SMS,1.00,messages,0.5000,0.50
212603357719,212603155215,5,SMS,1.00,messages,0.5000,0.50
212603357719,212603155215,6,SMS,1.00,messages,0.5000,0.50
212603357719,212603155215,7,Voice Calls,4.00,minutes,1.2500,5.00
212603357719,212603155215,8,Voice Calls,4.20,minutes,1.1905,5.00
212603357719,212603155215,9,Voice Calls,4.00,minutes,1.2500,5.00
212603357719,212603155215,10,Voice Calls,1.43,minutes,1.3986,2.00
212605992200,212605789696,1,Mobile Data,497.26,MB,2.6033,1294.52
212605992200,212605789696,2,Mobile Data,450.36,MB,2.6661,1200.72
212605992200,212605789696,3,Mobile Data,375.56,MB,2.7988,1051.12
212605992200,212605789696,4,SMS,1.00,messages,0.5000,0.50
212605992200,212605789696,5,SMS,1.00,messages,0.5000,0.50
212605992200,212605789696,6,SMS,1.00,messages,0.5000,0.50
212605992200,212605789696,7,SMS,1.00,messages,0.5000,0.50
212605992200,212605789696,8,Voice Calls,3.85,minutes,1.0390,4.00
212605992200,212605789696,9,Voice Calls,0.78,minutes,1.2821,1.00
212605992200,212605789696,10,Voice Calls,1.92,minutes,1.0417,2.00
212605992200,212605789696,11,Voice Calls,2.05,minutes,1.4634,3.00
212607501643,212607299139,1,Mobile Data,484.75,MB,2.6189,1269.50
212607501643,212607299139,2,Mobile Data,244.08,MB,3.2291,788.16
212607501643,212607299139,3,Mobile Data,250.67,MB,3.1968,801.34
212607501643,212607299139,4,Mobile Data,250.67,MB,3.1968,801.34
212607501643,212607299139,5,SMS,1.00,messages,0.5000,0.50
212607501643,212607299139,6,SMS,1.00,messages,0.5000,0.50
212607501643,212607299139,7,SMS,1.00,messages,0.5000,0.50
212607501643,212607299139,8,SMS,1.00,messages,0.5000,0.50
212607501643,212607299139,9,Voice Calls,9.00,minutes,1.1111,10.00
212607501643,212607299139,10,Voice Calls,9.65,minutes,1.0363,10.00
212607501643,212607299139,11,Voice Calls,3.03,minutes,1.3201,4.00
212607869637,212607667133,1,Mobile Data,460.19,MB,2.6519,1220.38
212607869637,212607667133,2,Mobile Data,3.63,MB,5.0000,18.15
212607869637,212607667133,3,Mobile Data,350.11,MB,2.8569,1000.22
212607869637,212607667133,4,SMS,1.00,messages,0.5000,0.50
212607869637,212607667133,5,SMS,1.00,messages,0.5000,0.50
212607869637,212607667133,6,Voice Calls,7.97,minutes,1.0038,8.00
212607869637,212607667133,7,Voice Calls,9.38,minutes,1.0661,10.00
212607944232,212607741728,1,Mobile Data,334.10,MB,2.8979,968.20
212607944232,212607741728,2,Mobile Data,155.78,MB,3.9258,611.56
212607944232,212607741728,3,Mobile Data,233.32,MB,3.2858,766.64
212607944232,212607741728,4,SMS,1.00,messages,0.5000,0.50
212607944232,212607741728,5,SMS,1.00,messages,0.5000,0.50
212607944232,212607741728,6,Voice Calls,8.23,minutes,1.0936,9.00
212607944232,212607741728,7,Voice Calls,4.43,minutes,1.1287,5.00
212607944232,212607741728,8,Voice Calls,2.12,minutes,1.4151,3.00
212608564201,212608361697,1,Mobile Data,497.31,MB,2.6032,1294.62
212608564201,212608361697,2,Mobile Data,127.14,MB,4.3596,554.28
212608564201,212608361697,3,Mobile Data,382.84,MB,2.7836,1065.68
212608564201,212608361697,4,SMS,1.00,messages,0.5000,0.50
212608564201,212608361697,5,SMS,1.00,messages,0.5000,0.50
212608564201,212608361697,6,SMS,1.00,messages,0.5000,0.50
212608564201,212608361697,7,SMS,1.00,messages,0.5000,0.50
212610001607,212609799103,1,Mobile Data,254.84,MB,3.1772,809.68
212610001607,212609799103,2,Mobile Data,32.78,MB,5.0000,163.90
212610001607,212609799103,3,Mobile Data,307.58,MB,2.9754,915.16
212610001607,212609799103,4,Mobile Data,172.43,MB,3.7398,644.86
212610001607,212609799103,5,SMS,1.00,messages,0.5000,0.50
212610001607,212609799103,6,Voice Calls,6.10,minutes,1.1475,7.00
212610001607,212609799103,7,Voice Calls,3.50,minutes,1.1429,4.00
212610001607,212609799103,8,Voice Calls,1.65,minutes,1.2121,2.00
212611401560,212611199056,1,Mobile Data,228.78,MB,3.3113,757.56
212611401560,212611199056,2,Mobile Data,482.04,MB,2.6224,1264.08
212611401560,212611199056,3,Mobile Data,201.04,MB,3.4922,702.08
212611401560,212611199056,4,Mobile Data,287.78,MB,3.0425,875.56
212611401560,212611199056,5,SMS,1.00,messages,0.5000,0.50
212611401560,212611199056,6,SMS,1.00,messages,0.5000,0.50
212611401560,212611199056,7,Voice Calls,6.38,minutes,1.0972,7.00
212611401560,212611199056,8,Voice Calls,8.10,minutes,1.1111,9.00
212611401560,212611199056,9,Voice Calls,5.72,minutes,1.0490,6.00
212611401560,212611199056,10,Voice Calls,5.08,minutes,1.1811,6.00
212612608886,212612406382,1,Mobile Data,460.99,MB,2.6508,1221.98
212612608886,212612406382,2,Mobile Data,310.15,MB,2.9673,920.30
212612608886,212612406382,3,SMS,1.00,messages,0.5000,0.50
212612608886,212612406382,4,SMS,1.00,messages,0.5000,0.50
212612608886,212612406382,5,Voice Calls,7.70,minutes,1.0390,8.00
212612608886,212612406382,6,Voice Calls,1.35,minutes,1.4815,2.00
212612608886,212612406382,7,Voice Calls,7.70,minutes,1.0390,8.00
212612608886,212612406382,8,Voice Calls,7.18,minutes,1.1142,8.00
212612608886,212612406382,9,Voice Calls,7.18,minutes,1.1142,8.00
212612608886,212612406382,10,Voice Calls,5.97,minutes,1.0050,6.00
212615199223,212614996719,1,Mobile Data,457.75,MB,2.6554,1215.50
212615199223,212614996719,2,Mobile Data,457.75,MB,2.6554,1215.50
212615199223,212614996719,3,Mobile Data,216.01,MB,3.3888,732.02
212615199223,212614996719,4,Mobile Data,118.54,MB,4.5308,537.08
212615199223,212614996719,5,SMS,1.00,messages,0.5000,0.50
212615199223,212614996719,6,SMS,1.00,messages,0.5000,0.50
212615199223,212614996719,7,SMS,1.00,messages,0.5000,0.50
212615199223,212614996719,8,Voice Calls,8.27,minutes,1.0883,9.00
212615199223,212614996719,9,Voice Calls,9.92,minutes,1.0081,10.00
212615199223,212614996719,10,Voice Calls,1.65,minutes,1.2121,2.00
212615199223,212614996719,11,Voice Calls,6.62,minutes,1.0574,7.00
212615199223,212614996719,12,Voice Calls,8.48,minutes,1.0613,9.00
212617089749,212616887245,1,Mobile Data,293.14,MB,3.0234,886.28
212617089749,212616887245,2,Mobile Data,201.71,MB,3.4873,703.42
212617089749,212616887245,3,Mobile Data,201.71,MB,3.4873,703.42
212617089749,212616887245,4,SMS,1.00,messages,0.5000,0.50
212617089749,212616887245,5,SMS,1.00,messages,0.5000,0.50
212617089749,212616887245,6,SMS,1.00,messages,0.5000,0.50
212617089749,212616887245,7,Voice Calls,9.75,minutes,1.0256,10.00
212617089749,212616887245,8,Voice Calls,5.13,minutes,1.1696,6.00
212617089749,212616887245,9,Voice Calls,3.67,minutes,1.0899,4.00
212617089749,212616887245,10,Voice Calls,6.52,minutes,1.0736,7.00
212617089749,212616887245,11,Voice Calls,5.13,minutes,1.1696,6.00
212617089749,212616887245,12,Voice Calls,9.73,minutes,1.0277,10.00
212617089749,212616887245,13,Voice Calls,3.18,minutes,1.2579,4.00
212617089749,212616887245,14,Voice Calls,3.55,minutes,1.1268,4.00
212617114150,212616911646,1,Mobile Data,328.50,MB,2.9132,957.00
212617114150,212616911646,2,Mobile Data,77.44,MB,5.0000,387.20
212617114150,212616911646,3,Mobile Data,162.99,MB,3.8406,625.98
212617114150,212616911646,4,SMS,1.00,messages,0.5000,0.50
212617114150,212616911646,5,Voice Calls,2.15,minutes,1.3953,3.00
212617114150,212616911646,6,Voice Calls,2.67,minutes,1.1236,3.00
212617114150,212616911646,7,Voice Calls,5.77,minutes,1.0399,6.00
212617114150,212616911646,8,Voice Calls,3.88,minutes,1.0309,4.00
212617114150,212616911646,9,Voice Calls,5.28,minutes,1.1364,6.00
212617114150,212616911646,10,Voice Calls,8.22,minutes,1.0949,9.00
212618255387,212618052883,1,Mobile Data,276.80,MB,3.0838,853.60
212618255387,212618052883,2,Mobile Data,65.30,MB,5.0000,326.50
212618255387,212618052883,3,SMS,1.00,messages,0.5000,0.50
212618255387,212618052883,4,SMS,1.00,messages,0.5000,0.50
212618255387,212618052883,5,Voice Calls,8.23,minutes,1.0936,9.00
212618255387,212618052883,6,Voice Calls,0.77,minutes,1.2987,1.00
212618255387,212618052883,7,Voice Calls,7.97,minutes,1.0038,8.00
212618488986,212618286482,1,Mobile Data,50.61,MB,5.0000,253.05
212618488986,212618286482,2,Mobile Data,466.24,MB,2.6434,1232.48
212618488986,212618286482,3,Mobile Data,170.11,MB,3.7636,640.22
212618488986,212618286482,4,Mobile Data,250.53,MB,3.1975,801.06
212618488986,212618286482,5,Mobile Data,376.23,MB,2.7974,1052.46
212618488986,212618286482,6,SMS,1.00,messages,0.5000,0.50
212618488986,212618286482,7,SMS,1.00,messages,0.5000,0.50
212618488986,212618286482,8,Voice Calls,6.05,minutes,1.1570,7.00
212619810706,212619608202,1,Mobile Data,290.61,MB,3.0323,881.22
212619810706,212619608202,2,Mobile Data,444.64,MB,2.6747,1189.28
212619810706,212619608202,3,Mobile Data,279.19,MB,3.0745,858.38
212619810706,212619608202,4,SMS,1.00,messages,0.5000,0.50
212619810706,212619608202,5,SMS,1.00,messages,0.5000,0.50
212619810706,212619608202,6,Voice Calls,5.57,minutes,1.0772,6.00
212619810706,212619608202,7,Voice Calls,5.57,minutes,1.0772,6.00
212619810706,212619608202,8,Voice Calls,6.60,minutes,1.0606,7.00
212619810706,212619608202,9,Voice Calls,8.92,minutes,1.0090,9.00
212619810706,212619608202,10,Voice Calls,8.92,minutes,1.0090,9.00
212619810706,212619608202,11,Voice Calls,7.35,minutes,1.0884,8.00
212619810706,212619608202,12,Voice Calls,1.05,minutes,1.9048,2.00
212620834961,212620632457,1,Mobile Data,208.94,MB,3.4358,717.88
212620834961,212620632457,2,Mobile Data,100.83,MB,4.9753,501.66
212620834961,212620632457,3,SMS,1.00,messages,0.5000,0.50
212620834961,212620632457,4,Voice Calls,6.30,minutes,1.1111,7.00
212620834961,212620632457,5,Voice Calls,6.30,minutes,1.1111,7.00
212620834961,212620632457,6,Voice Calls,8.27,minutes,1.0883,9.00
212620834961,212620632457,7,Voice Calls,0.80,minutes,1.2500,1.00
212620834961,212620632457,8,Voice Calls,5.10,minutes,1.1765,6.00
212621347808,212621145304,1,Mobile Data,303.29,MB,2.9892,906.58
212621347808,212621145304,2,SMS,1.00,messages,0.5000,0.50
212621347808,212621145304,3,SMS,1.00,messages,0.5000,0.50
212621347808,212621145304,4,SMS,1.00,messages,0.5000,0.50
212621347808,212621145304,5,SMS,1.00,messages,0.5000,0.50
212621347808,212621145304,6,Voice Calls,2.03,minutes,1.4778,3.00
212621347808,212621145304,7,Voice Calls,7.83,minutes,1.0217,8.00
